table,column,type,options
cache,key,string,)->primary(
cache,value,mediumText,
cache,expiration,integer,
cache,key,string,)->primary(
cache,owner,string,
cache,expiration,integer,
jobs,queue,string,)->index(
jobs,payload,longText,
jobs,attempts,unsignedTinyInteger,
jobs,reserved_at,unsignedInteger,)->nullable(
jobs,available_at,unsignedInteger,
jobs,created_at,unsignedInteger,
jobs,id,string,)->primary(
jobs,name,string,
jobs,total_jobs,integer,
jobs,pending_jobs,integer,
jobs,failed_jobs,integer,
jobs,failed_job_ids,longText,
jobs,options,mediumText,)->nullable(
jobs,cancelled_at,integer,)->nullable(
jobs,created_at,integer,
jobs,finished_at,integer,)->nullable(
jobs,uuid,string,)->unique(
jobs,connection,text,
jobs,queue,text,
jobs,payload,longText,
jobs,exception,longText,
jobs,failed_at,timestamp,)->useCurrent(
users,username,string,)->unique(
users,email,string,)->unique(
users,email_verified_at,timestamp,)->nullable(
users,password,string,
users,is_active,boolean,)->default(true
users,email,string,)->primary(
users,token,string,
users,created_at,timestamp,)->nullable(
users,id,string,)->primary(
users,user_id,foreignId,)->nullable()->index(
users,ip_address,string,", 45)->nullable("
users,user_agent,text,)->nullable(
users,payload,longText,
users,last_activity,integer,)->index(
social_platforms,name,string,)->unique(
user_profiles,user_id,foreignId,)->constrained()->cascadeOnDelete(
user_profiles,profile,text,)->nullable(
user_profiles,profile_image_url,string,)->nullable(
user_social_links,user_id,foreignId,)->constrained()->cascadeOnDelete(
user_social_links,social_platforms_id,foreignId,)->constrained('social_platforms'
user_social_links,url,string,
categories,name,string,)->unique(
difficulties,level,unsignedTinyInteger,)->unique(
tags,name,string,)->unique(
tools,name,string,)->unique(
posts,user_id,foreignId,)->constrained()->cascadeOnDelete(
posts,title,string,
posts,body,text,
posts,difficulty_id,foreignId,)->constrained('difficulties'
posts,status,enum,", ['draft','published','private'])->default('draft'"
posts,view_count,unsignedBigInteger,)->default(0
post_categories,post_id,foreignId,)->constrained()->cascadeOnDelete(
post_categories,category_id,foreignId,)->constrained()->cascadeOnDelete(
post_images,post_id,foreignId,)->constrained()->cascadeOnDelete(
post_images,image_path,string,
post_images,order,integer,)->default(0
comments,post_id,foreignId,)->constrained()->cascadeOnDelete(
comments,user_id,foreignId,)->constrained()->cascadeOnDelete(
comments,parent_comment_id,foreignId,)->nullable()->constrained('comments')->cascadeOnDelete(
comments,body,text,
post_tags,post_id,foreignId,)->constrained()->cascadeOnDelete(
post_tags,tag_id,foreignId,)->constrained()->cascadeOnDelete(
post_tools,post_id,foreignId,)->constrained()->cascadeOnDelete(
post_tools,tool_id,foreignId,)->constrained()->cascadeOnDelete(
reaction_types,name,string,)->unique(
follows,follower_id,foreignId,)->constrained('users')->cascadeOnDelete(
follows,followee_id,foreignId,)->constrained('users')->cascadeOnDelete(
reactions,user_id,foreignId,)->constrained()->cascadeOnDelete(
reactions,post_id,foreignId,)->constrained()->cascadeOnDelete(
reactions,reaction_type_id,foreignId,)->constrained('reaction_types'
