model,table,primaryKey,fillable,guarded,casts
Category,,id,name,,
Comment,,id,"post_id, user_id, parent_comment_id, body",,
Difficulty,,id,name,,
Follow,,id,"follower_id, followee_id",,
Post,,id,"user_id, title, body, difficulty_id, status, view_count",,
PostImage,,id,"post_id, image_path, order",,
Reaction,,id,"user_id, post_id, reaction_type_id",,
ReactionType,,id,name,,
SocialPlatform,,id,name,,
Tag,,id,name,,
Tool,,id,name,,
User,,id,"username, email, password, is_active",,
UserProfile,,id,"user_id, profile, profile_image_url",,
UserSocialLink,,id,"user_id, social_platforms_id, url",,
